0.5, 'Elastic Bandage', 'USA', 'Beige', 'Bandaging Supplies',
0.2, 'Gauze Roll', 'China', 'White', 'Bandaging Supplies',
0.3, 'Adhesive Tape', 'Germany', 'Clear', 'Bandaging Supplies',
0.4, 'Butterfly Closures', 'Japan', 'White', 'Bandaging Supplies',
0.1, 'Triangular Bandage', 'India', 'Beige', 'Bandaging Supplies',
0.6, 'Sterile Gauze Pads', 'USA', 'White', 'Bandaging Supplies',
0.3, 'Hydrocolloid Dressing', 'France', 'Clear', 'Wound Care Products',
0.5, 'Antiseptic Wipes', 'Italy', 'White', 'Wound Care Products',
0.4, 'Silver Nitrate Sticks', 'Spain', 'Gray', 'Wound Care Products',
0.2, 'Hydrogel Dressing', 'Canada', 'Clear', 'Wound Care Products',
0.7, 'Alcohol Swabs', 'Mexico', 'White', 'Wound Care Products',
0.4, 'Burn Relief Gel', 'USA', 'Clear', 'Wound Care Products',
0.5, 'Sterile Cotton Balls', 'China', 'White', 'Wound Care Products',
0.3, 'Diagnostic Penlight', 'Germany', 'Silver', 'Diagnostic Instruments',
0.4, 'Stethoscope', 'Japan', 'Black', 'Diagnostic Instruments',
0.2, 'Blood Pressure Cuff', 'India', 'Blue', 'Diagnostic Instruments',
0.6, 'Thermometer', 'USA', 'White', 'Diagnostic Instruments',
0.4, 'Pulse Oximeter', 'France', 'Red', 'Diagnostic Instruments',
0.7, 'CPR Mask', 'Italy', 'Clear', 'Emergency Resuscitation Equipment',
0.5, 'Bag Valve Mask', 'Spain', 'Green', 'Emergency Resuscitation Equipment',
0.3, 'Defibrillator Pads', 'Canada', 'White', 'Emergency Resuscitation Equipment',
0.4, 'Rescue Breathing Barrier', 'Mexico', 'Clear', 'Emergency Resuscitation Equipment',
0.5, 'N95 Respirator', 'USA', 'White', 'Personal Protective Equipment (PPE)',
0.2, 'Surgical Gown', 'China', 'Blue', 'Personal Protective Equipment (PPE)',
0.3, 'Face Shield', 'Germany', 'Clear', 'Personal Protective Equipment (PPE)',
0.4, 'Disposable Gloves', 'Japan', 'Purple', 'Personal Protective Equipment (PPE)',
0.5, 'Safety Goggles', 'India', 'Black', 'Personal Protective Equipment (PPE)',
0.6, 'Sterile Scalpels', 'USA', 'Silver', 'Surgical Instruments',
0.3, 'Surgical Scissors', 'France', 'Silver', 'Surgical Instruments',
0.4, 'Hemostats', 'Italy', 'Silver', 'Surgical Instruments',
0.5, 'Retractors', 'Spain', 'Silver', 'Surgical Instruments',
0.7, 'Suture Kit', 'Canada', 'Black', 'Surgical Instruments',
0.4, 'ECG Machine', 'Mexico', 'White', 'Patient Monitoring Devices',
0.5, 'Fetal Doppler', 'USA', 'Pink', 'Patient Monitoring Devices',
0.3, 'Heart Rate Monitor', 'China', 'Black', 'Patient Monitoring Devices',
0.4, 'Blood Glucose Meter', 'Germany', 'Blue', 'Patient Monitoring Devices',
0.6, 'IV Drip Set', 'Japan', 'Clear', 'Fluid Administration Equipment',
0.2, 'Infusion Pump', 'India', 'White', 'Fluid Administration Equipment',
0.3, 'Syringe Pump', 'USA', 'Blue', 'Fluid Administration Equipment',
0.4, 'Fluid Warmer', 'France', 'White', 'Fluid Administration Equipment',
0.5, 'Ambulance Stretcher', 'Italy', 'Yellow', 'Emergency Transportation Aids',
0.7, 'Spine Board', 'Spain', 'Red', 'Emergency Transportation Aids',
